DiasParaEleicaoBR,DiasParaEleicaoUSA,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,MACD_Signal,WTI_Retorno_63d_lag3,Classe
-0.20283917,-0.06378716,0.040516455,-0.047010206,0.20564145,0.07529982,-0.11371278,-0.13002832,0.023828432,Venda
-0.18731149,-0.059018612,0.03429029,-0.05319224,0.21806976,0.07288496,-0.10955455,-0.13898273,0.10236075,Venda
-0.1969014,-0.058544386,0.032964315,-0.053579234,0.22390313,0.06990416,-0.10784081,-0.120209314,0.09345203,Venda
-0.29448953,-0.05989786,0.034756873,-0.055551004,0.22613311,0.07129257,-0.118830115,-0.09556679,-0.008669056,Venda
-0.2570556,-0.04900309,0.0459643,-0.03978371,0.23963681,0.07721532,-0.10475593,-0.090049565,0.08626564,Venda
-0.25584334,-0.046972785,0.046118055,-0.040474623,0.23842812,0.07797574,-0.10514221,-0.089859806,0.08138948,Venda
-0.27212605,-0.055298444,0.053924505,-0.024280624,0.22947589,0.08435807,-0.10557026,-0.11496729,0.03719292,Venda
-0.27374122,-0.05554322,0.052424513,-0.02676511,0.22568251,0.083887994,-0.10637121,-0.11152802,0.038436737,Venda
-0.2278185,-0.05421713,0.0519054,-0.038108855,0.23893704,0.07795515,-0.105097115,-0.08175596,0.10129192,Venda
-0.272722,-0.052688573,0.05914115,-0.029992808,0.22638059,0.08621951,-0.10990574,-0.124904625,0.0303757,Venda
-0.14004597,-0.047028054,0.05200626,-0.033193294,0.24459475,0.08593766,-0.09896,-0.0021774208,0.09175099,Venda
-0.14834179,-0.036942728,0.048322268,-0.038389165,0.24840741,0.0786573,-0.101048015,0.010557998,0.07088167,Venda
-0.13112782,-0.028053261,0.052151617,-0.031021822,0.24317946,0.08833565,-0.10248512,0.0011148006,0.11798127,Venda
-0.17666626,-0.026419612,0.056652363,-0.017990772,0.23866794,0.08236837,-0.10171267,-0.0417503,0.041863665,Venda
-0.1719156,-0.028895576,0.057230134,-0.024033464,0.21271329,0.06424339,-0.11115369,-0.03301345,0.057477787,Venda
-0.122862265,-0.05193934,0.054297864,-0.04095773,0.18704125,0.05279637,-0.07489352,0.07242129,0.093171,Venda
